subjectID	Fathers_Educational_attainment	Years_of_fathers_education	Mothers_Educational_attainment	Years_of_mothers_education	Fathers_occupation	Mothers_occupation	Other_fathers_occupation	Family_owns_the_home_they_live_in
LCC1031	4	4	4	4	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC1032	4	4	4	4	Rickshaw /Push cart puller/van	Servant		No
LCC1033	11	12	11	12	Private Service / NGO Service	Housewife		No
LCC1034	5	5	7	7	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		Yes
LCC1035	0	0	0	0	Rickshaw /Push cart puller/van	Housewife		No
LCC1036	8	8	8	8	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1037	1	1	1	1	Rickshaw /Push cart puller/van	Housewife		No
LCC1038	0	0	3	3	Garments worker	Garments worker		No
LCC1039	8	8	0	0	Garments worker	Servant		No
LCC1040	1	1	4	4	Private Service / NGO Service	Private Service / NGO Service		No
LCC1041	13	15	7	7	Small Businessman (Up to 10,000 Tk./ Month)	Garments worker		No
LCC1042	4	4	4	4	Daily labourer (unskilled labourer)	Housewife		No
LCC1043	4	4	7	7	Small Businessman (Up to 10,000 Tk./ Month)	Housewife		No
LCC1044	5	5	8	8	Rickshaw /Push cart puller/van	Servant		No
LCC1045	9	9	14	16	Medium Businessman (10,001 – 30,000 Tk./ Month)	Private Service / NGO Service		Yes
LCC1046	5	5	10	10	Contractor (Construction work)	Housewife		No
LCC1047	1	1	8	8	Small Businessman (Up to 10,000 Tk./ Month)	Housewife		Yes
LCC1048	11	12	9	9	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC1049	2	2	6	6	Daily labourer (unskilled labourer)	Housewife		No
LCC1050	2	2	4	4	Daily labourer (unskilled labourer)	Housewife		No
LCC1051	11	12	10	10	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC1052	7	7	10	10	Driver	Housewife		Yes
LCC1053	4	4	4	4	Cobbler	Housewife		Yes
LCC1054	5	5	9	9	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		No
LCC1055	5	5	3	3	Rickshaw /Push cart puller/van	Housewife		Yes
LCC1056	8	8	7	7	Garments worker	Housewife		No
LCC1057	1	1	7	7	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1058	7	7	4	4	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Daily labourer (unskilled labourer)		No
LCC1059	6	6	4	4	Driver	Housewife		No
LCC1060	8	8	5	5	Driver	Housewife		No
LCC1061	7	7	4	4	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1062	1	1	0	0	Daily labourer (unskilled labourer)	Housewife		No
LCC1063	4	4	9	9	Private Service / NGO Service	Housewife		No
LCC1064	8	8	4	4	Small Businessman (Up to 10,000 Tk./ Month)	Housewife		No
LCC1065	0	0	6	6	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Servant		No
LCC1066	0	0	9	9	Rickshaw /Push cart puller/van	Servant		No
LCC1067	8	8	8	8	Daily labourer (unskilled labourer)	Tailor		No
LCC1068	8	8	5	5	Daily labourer (unskilled labourer)	Housewife		No
LCC1069	5	5	5	5	Driver	Housewife		Yes
LCC1070	4	4	4	4	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1071	5	5	5	5	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC1072	0	0	5	5	Rickshaw /Push cart puller/van	Housewife		No
LCC1073	3	3	3	3	Small Businessman (Up to 10,000 Tk./ Month)	Small Businessman (Up to 10,000 Tk./ Month)		Yes
LCC1074	7	7	8	8	Driver	Housewife		Yes
LCC1075	9	9	4	4	Medium Businessman (10,001 – 30,000 Tk./ Month)	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC1076	5	5	10	10	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC1077	5	5	5	5	Rickshaw /Push cart puller/van	Housewife		No
LCC1078	5	5	8	8	Rickshaw /Push cart puller/van	Housewife		No
LCC1079	4	4	4	4	Driver	Housewife		No
LCC1080	0	0	0	0	Daily labourer (unskilled labourer)	Housewife		No
LCC1081	9	9	6	6	Garments worker	Housewife		No
LCC1082	8	8	10	10	Driver	Home skill worker (Shari made, Embroidery, Karchupi etc.)		Yes
LCC1083	8	8	7	7	Driver	Housewife		No
LCC1084	5	5	5	5	Daily labourer (unskilled labourer)	Housewife		No
LCC1085	12	15	5	5	Garments worker	Housewife		No
LCC1086	1	1	6	6	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Daily labourer (unskilled labourer)		Yes
LCC1087	5	5	4	4	Rickshaw /Push cart puller/van	Private Service / NGO Service		Yes
LCC1088	1	1	7	7	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Home skill worker (Shari made, Embroidery, Karchupi etc.)		Yes
LCC1089	0	0	4	4	Daily labourer (unskilled labourer)	Housewife		No
LCC1090	8	8	4	4	Driver	Housewife		No
LCC1091	8	8	4	4	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC1092	7	7	0	0	Garments worker	Garments worker		Yes
LCC1093	0	0	6	6	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1094	0	0	0	0	Rickshaw /Push cart puller/van	Housewife		No
LCC1095	0	0	4	4	Daily labourer (unskilled labourer)	Housewife		No
LCC1096	9	9	9	9	Daily labourer (unskilled labourer)	Housewife		No
LCC1097	11	12	10	10	Private Service / NGO Service	Housewife		Yes
LCC1098	9	9	8	8	Rickshaw /Push cart puller/van	Housewife		No
LCC1099	4	4	7	7	Garments worker	Housewife		No
LCC1100	0	0	0	0	Other (Specify)	Daily labourer (unskilled labourer)	Father's dad	No
LCC1101	5	5	1	1	Rickshaw /Push cart puller/van	Garments worker		No
LCC1102	5	5	10	10	Daily labourer (unskilled labourer)	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC1103	8	8	8	8	Driver	Garments worker		No
LCC1104	10	10	11	12	Private Service / NGO Service	Private Service / NGO Service		Yes
LCC1105	0	0	6	6	Daily labourer (unskilled labourer)	Servant		No
LCC1106	0	0	1	1	Daily labourer (unskilled labourer)	Housewife		No
LCC1107	3	3	4	4	Rickshaw /Push cart puller/van	Garments worker		No
LCC1108	11	12	14	16	Clergy (Imam, Muarzin, Moulana, Huzur, Padri etc)	Housewife		Yes
LCC1109	10	10	8	8	Garments worker	Housewife		Yes
LCC1110	8	8	8	8	Garments worker	Housewife		No
LCC1111	1	1	3	3	Unemployed	Servant		No
LCC1112	2	2	0	0	Driver	Housewife		No
LCC1113	8	8	2	2	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Daily labourer (unskilled labourer)		No
LCC1114	5	5	5	5	Private Service / NGO Service	Housewife		No
LCC1115	5	5	7	7	Daily labourer (unskilled labourer)	Housewife		No
LCC1116	5	5	8	8	Government Service	Housewife		No
LCC1117	10	10	11	12	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC1118	10	10	10	10	Private Service / NGO Service	Housewife		Yes
LCC1119	4	4	8	8	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		Yes
LCC1120	0	0	5	5	Daily labourer (unskilled labourer)	Housewife		No
LCC1121	3	3	7	7	Driver	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC1122	5	5	0	0	Government Service	Housewife		No
LCC1123	4	4	2	2	Driver	Housewife		No
LCC1124	5	5	6	6	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		No
LCC1125	5	5	9	9	Driver	Housewife		No
LCC1126	4	4	4	4	Private Service / NGO Service	Housewife		No
LCC1127	8	8	10	10	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC1128	0	0	0	0	Rickshaw /Push cart puller/van	Housewife		No
LCC1129	0	0	3	3	Daily labourer (unskilled labourer)	Housewife		No
LCC1130	9	9	7	7	Private Service / NGO Service	Housewife		No
LCC1131	0	0	0	0	Driver	Housewife		No
LCC1132	5	5	8	8	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		No
LCC1133	6	6	9	9	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		No
LCC1134	5	5	4	4	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		Yes
LCC1135	0	0	0	0	Daily labourer (unskilled labourer)	Housewife		No
LCC1136	0	0	0	0	Unemployed	Housewife		No
LCC1137	7	7	9	9	Garments worker	Housewife		No
LCC1138	3	3	2	2	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1139	2	2	7	7	Daily labourer (unskilled labourer)	Garments worker		No
LCC1140	9	9	9	9	Private Service / NGO Service	Housewife		Yes
LCC1141	7	7	3	3	Daily labourer (unskilled labourer)	Housewife		No
LCC1142	5	5	0	0	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1143	0	0	5	5	Private Service / NGO Service	Housewife		No
LCC1144	8	8	5	5	Unemployed	Garments worker		No
LCC1145	8	8	6	6	Private Service / NGO Service	Housewife		Yes
LCC1146	9	9	5	5	Private Service / NGO Service	Housewife		No
LCC1147	9	9	8	8	Garments worker	Housewife		No
LCC1148	5	5	4	4	Rickshaw /Push cart puller/van	Housewife		No
LCC1149	0	0	0	0	Daily labourer (unskilled labourer)	Servant		No
LCC1150	0	0	2	2	Daily labourer (unskilled labourer)	Small Businessman (Up to 10,000 Tk./ Month)		Yes
LCC1151	4	4	5	5	Small Businessman (Up to 10,000 Tk./ Month)	Daily labourer (unskilled labourer)		No
LCC1152	8	8	5	5	Private Service / NGO Service	Housewife		Yes
LCC1153	0	0	4	4	Daily labourer (unskilled labourer)	Daily labourer (unskilled labourer)		Yes
LCC1154	11	12	11	12	Daily labourer (unskilled labourer)	Housewife		Yes
LCC1155	0	0	2	2	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC1156	0	0	5	5	Small Businessman (Up to 10,000 Tk./ Month)	Servant		No
LCC1157	5	5	0	0	Rickshaw /Push cart puller/van	Housewife		No
LCC1158	0	0	3	3	Daily labourer (unskilled labourer)	Housewife		No
LCC1159	5	5	7	7	Barber	Housewife		Yes
LCC2001	4	4	8	8	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC2002	5	5	5	5	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC2003	3	3	9	9	Businessman (> 30,000 Tk./ Month)	Housewife		No
LCC2004	2	2	7	7	Private Service / NGO Service	Housewife		Yes
LCC2005	11	12	9	9	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC2006	7	7	11	12	Driver	Housewife		No
LCC2007	10	10	14	16	Businessman (> 30,000 Tk./ Month)	Housewife		Yes
LCC2008	4	4	4	4	Driver	Housewife		Yes
LCC2009	11	12	15	18	Private Service / NGO Service	Housewife		No
LCC2010	0	0	1	1	Daily labourer (unskilled labourer)	Home skill worker (Shari made, Embroidery, Karchupi etc.)		Yes
LCC2011	7	7	6	6	Private Service / NGO Service	Housewife		Yes
LCC2012	3	3	2	2	Private Service / NGO Service	Housewife		No
LCC2013	0	0	0	0	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC2014	9	9	8	8	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC2015	9	9	4	4	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		No
LCC2016	8	8	1	1	Rickshaw /Push cart puller/van	Home skill worker (Shari made, Embroidery, Karchupi etc.)		Yes
LCC2017	7	7	4	4	Daily labourer (unskilled labourer)	Housewife		Yes
LCC2018	9	9	8	8	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC2019	3	3	3	3	Rickshaw /Push cart puller/van	Housewife		No
LCC2020	8	8	9	9	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		No
LCC2021	15	18	14	16	Private Service / NGO Service	Housewife		No
LCC2022	2	2	4	4	Rickshaw /Push cart puller/van	Servant		Yes
LCC2023	8	8	4	4	Daily labourer (unskilled labourer)	Housewife		Yes
LCC2024	5	5	10	10	Driver	Teacher (School, College, University)		No
LCC2025	4	4	4	4	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		No
LCC2026	4	4	11	12	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC2027	9	9	0	0	Rickshaw /Push cart puller/van	Housewife		No
LCC2028	6	6	8	8	Rickshaw /Push cart puller/van	Housewife		Yes
LCC2029	6	6	2	2	Businessman (> 30,000 Tk./ Month)	Housewife		No
LCC2030	0	0	4	4	Garments worker	Housewife		No
LCC2031	4	4	5	5	Rickshaw /Push cart puller/van	Housewife		No
LCC2032	5	5	8	8	Garments worker	Housewife		No
LCC2033	2	2	5	5	Daily labourer (unskilled labourer)	Housewife		Yes
LCC2034	8	8	3	3	Businessman (> 30,000 Tk./ Month)	Housewife		No
LCC2035	8	8	10	10	Garments worker	Housewife		No
LCC2036	0	0	5	5	Daily labourer (unskilled labourer)	Housewife		No
LCC2037	5	5	4	4	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC2038	5	5	5	5	Daily labourer (unskilled labourer)	Housewife		Yes
LCC2039	7	7	9	9	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		No
LCC2040	4	4	7	7	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		Yes
LCC2041	5	5	5	5	Driver	Housewife		No
LCC2042	10	10	7	7	Garments worker	Housewife		No
LCC2043	8	8	6	6	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		No
LCC2044	11	12	5	5	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		No
LCC2045	14	16	11	12	Private Service / NGO Service	Housewife		Yes
LCC2046	5	5	10	10	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		No
LCC2047	4	4	2	2	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		Yes
LCC2048	11	12	12	15	Businessman (> 30,000 Tk./ Month)	Housewife		No
LCC2049	15	18	11	12	Other (Specify)	Housewife	Work in foreign country	No
LCC2050	7	7	6	6	Private Service / NGO Service	Housewife		Yes
LCC2051	7	7	7	7	Rickshaw /Push cart puller/van	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC2052	6	6	5	5	Small Businessman (Up to 10,000 Tk./ Month)	Housewife		No
LCC2053	9	9	11	12	Businessman (> 30,000 Tk./ Month)	Housewife		No
LCC2054	7	7	5	5	Rickshaw /Push cart puller/van	Housewife		No
LCC2055	9	9	1	1	Rickshaw /Push cart puller/van	Housewife		No
LCC2056	5	5	7	7	Garments worker	Housewife		No
LCC2057	8	8	7	7	Rickshaw /Push cart puller/van	Housewife		No
LCC2058	9	9	0	0	Garments worker	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC2059	0	0	0	0	Barber	Servant		Yes
LCC2060	7	7	8	8	Helper	Housewife		No
LCC2061	0	0	4	4	Driver	Housewife		No
LCC2062	15	18	15	18	Private Service / NGO Service	Housewife		Yes
LCC2063	3	3	4	4	Daily labourer (unskilled labourer)	Housewife		No
LCC2064	5	5	5	5	Garments worker	Housewife		Yes
LCC2065	5	5	4	4	Daily labourer (unskilled labourer)	Housewife		No
LCC2066	8	8	8	8	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		Yes
LCC2067	1	1	4	4	Driver	Housewife		No
LCC2068	5	5	3	3	Driver	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC2069	0	0	5	5	Rickshaw /Push cart puller/van	Housewife		No
LCC2070	0	0	5	5	Unemployed	Servant		Yes
LCC2071	10	10	8	8	Driver	Housewife		No
LCC2072	11	12	10	10	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		Yes
LCC2073	9	9	5	5	Private Service / NGO Service	Housewife		No
LCC2074	11	12	15	18	Private Service / NGO Service	Housewife		Yes
LCC2075	0	0	0	0	Small Businessman (Up to 10,000 Tk./ Month)	Small Businessman (Up to 10,000 Tk./ Month)		Yes
