sampleID	Occipital_Delta	Temporal_Delta	Frontal_Delta_	Parietal_Delta_	Frontal_Low_Alpha	Frontal_High_Alpha	Frontal_Theta	Frontal_Beta	Parietal_Theta	Parietal_Low_Alpha	Parietal_High_Alpha	Parietal_Beta	Temporal_Theta	Temporal_Low_Alpha	Temporal_High_Alpha	Temporal_Beta	Occipital_Theta	Occipital_Low_Alpha	Occipital_High_Alpha	Occipital_Beta	All_Chans_Beta	Frontal_Central_Low_Gamma	All_Chans_Delta	All_Chans_High_Alpha	All_Chans_High_Gamma	All_Chans_Low_Alpha	All_Chans_Low_Gamma	All_Chans_Theta	Frontal_Central_Beta	Frontal_Central_Delta	Frontal_Central_High_Alpha	Frontal_Central_High_Gamma	Frontal_Central_Low_Alpha	Occipital_High_Gamma	Frontal_Central_Theta	Frontal_High_Gamma	Frontal_Low_Gamma	Left_Lat_Frontal_Beta	Left_Lat_Frontal_Delta	Left_Lat_Frontal_High_Alpha	Left_Lat_Frontal_High_Gamma	Left_Lat_Frontal_Low_Alpha	Left_Lat_Frontal_Low_Gamma	Left_Lat_Frontal_Theta	Left_Parietal_Beta	Left_Parietal_Delta	Left_Parietal_High_Alpha	Left_Parietal_High_Gamma	Left_Parietal_Low_Alpha	Left_Parietal_Low_Gamma	Left_Parietal_Theta	Left_Temporal_Beta	Left_Temporal_Delta	Left_Temporal_High_Alpha	Right_Parietal_High_Gamma	Right_Parietal_Low_Alpha	Right_Parietal_Low_Gamma	Right_Parietal_Theta	Right_Temporal_Beta	Right_Temporal_Delta	Right_Temporal_High_Alpha	Right_Temporal_High_Gamma	Right_Temporal_Low_Alpha	Right_Temporal_Low_Gamma	Right_Temporal_Theta	Temporal_High_Gamma	Temporal_Low_Gamma	Occipital_Low_Gamma	Parietal_High_Gamma	Parietal_Low_Gamma	Right_Lat_Frontal_Beta	Right_Lat_Frontal_Delta	Right_Lat_Frontal_High_Alpha	Right_Lat_Frontal_High_Gamma	Right_Lat_Frontal_Low_Alpha	Right_Lat_Frontal_Low_Gamma	Right_Parietal_Beta	Right_Parietal_Delta	Right_Parietal_High_Alpha	Right_Lat_Frontal_Theta	Left_Temporal_High_Gamma	Left_Temporal_Low_Alpha	Left_Temporal_Low_Gamma	Left_Temporal_Theta
LCC1007_0	2.198229942	1.757877465	1.777045518	1.812041425	1.187210782	0.661673829	1.552788312	1.313006721	1.622797154	1.347259252	0.596805045	0.802128551	1.571272386	1.171420355	0.556986053	0.972953199	1.920336126	1.636763028	0.87820327	0.971563449	1.172753108	0.386768576	1.90365797	0.694358296	0.515842446	1.321068241	0.831566214	1.659688626	0.78899856	1.736885124	0.475775365	-0.218678155	1.062364314	0.037800017	1.518019681	0.648298875	0.981116757	1.419777426	1.851740598	0.707942784	0.773794447	1.238353873	1.111417908	1.603759931	0.854818589	1.795198045	0.578025587	-0.094973102	1.267817364	0.414693884	1.610441717	1.02825241	1.762452142	0.546800237	-0.38029853	1.414392119	0.228958499	1.634810787	0.909570949	1.753254087	0.566938438	-0.055477632	1.204106903	0.478891915	1.573884397	0.162901476	0.5765323	0.448362963	-0.214613632	0.331680649	1.465928659	1.73160536	0.753621603	0.832739731	1.238311213	1.125884707	0.742151766	1.828255878	0.614806002	1.531610189	0.307533995	1.136072006	0.656199778	1.56864457
LCC1008_0	2.243996936	1.929186773	2.061601621	2.158414123	1.589784452	1.042244409	1.970727283	1.18683475	2.129709369	1.714505961	1.008710164	1.096485481	1.90289234	1.646660064	0.963734924	1.219617715	2.148802961	1.881898731	1.120433636	1.153384278	1.242041153	-0.001100758	2.101890314	1.048362659	0.092893056	1.681980663	0.528394901	2.035475045	1.092420207	2.183898593	1.170312929	-0.689206391	1.615387851	-0.168718263	2.066500621	0.064972041	0.445735755	1.140176475	1.979999272	0.929651148	0.146975055	1.525702303	0.467190902	1.891250518	1.045056937	2.170392875	1.015550208	-0.627740674	1.734712745	0.115626975	2.137305784	1.088134517	1.921748918	0.938995213	-0.549511916	1.693312923	0.168914467	2.121977713	1.320407584	1.936499387	0.987140962	0.40286597	1.672899812	0.699101443	1.91900609	0.209771492	0.517160127	0.364737099	-0.586867269	0.143087499	1.299860012	1.988998663	0.989382639	0.27342752	1.62178163	0.647665097	1.142463663	2.146095577	1.001760665	1.93475148	-0.146669056	1.618732402	0.198091746	1.886157603
LCC1008_52	1.917148984	1.656736332	1.820576648	1.691364928	1.48649243	0.949187108	1.581363922	1.165721733	1.627849051	1.629803819	1.047121627	1.117280311	1.500996775	1.481917115	0.953155157	1.206356873	1.758251602	1.824810698	1.39007042	1.35776423	1.225477535	0.266973911	1.763385344	1.043195838	0.400182338	1.587107819	0.704556431	1.61042736	1.014584725	1.720518808	0.885290547	0.088763207	1.489836147	0.353053229	1.593866311	0.308839413	0.588297605	1.127743318	1.688618608	0.837087203	0.309997001	1.351564671	0.599638547	1.456435587	1.066061743	1.716862814	1.014986186	-0.195499334	1.622272173	0.398367588	1.627597176	1.205194264	1.680993678	0.934259922	-0.094156167	1.637207072	0.418198917	1.628100779	1.207516377	1.63104353	0.971262463	0.361951082	1.495576067	0.730195282	1.496517123	0.374953805	0.741371201	0.728655874	-0.141878363	0.408396438	1.304857226	1.98724413	1.084101135	0.453375367	1.586630135	0.763336332	1.16309063	1.664276145	1.077042169	1.66799985	0.387578519	1.467814588	0.752266725	1.505430692
LCC1009_0	2.176911297	1.749631815	1.873246793	1.914577665	1.370990616	0.930377492	1.572608479	1.45382055	1.731488428	1.528775505	0.884923423	1.013335207	1.597180636	1.513576211	0.923521605	1.388792082	1.837787033	1.69803724	1.070752793	1.16411404	1.331326528	0.437419879	1.945162268	0.94814414	0.026046112	1.502234658	0.797752677	1.681632756	0.927590916	1.87579254	0.709057464	-0.31137332	1.267487593	-0.081710992	1.512891106	0.134858192	0.948184691	1.660436415	1.936045975	1.084080389	0.265482672	1.453254911	1.116892575	1.651137644	1.047826564	1.879984932	0.871947918	-0.370600095	1.515977476	0.464479394	1.707897075	1.500472237	1.747959988	0.938542433	-0.501780408	1.541207166	0.360998321	1.75386403	1.238062166	1.751297231	0.907962585	-0.015030029	1.569519885	0.715198768	1.645581219	0.088676082	0.882012024	0.60561126	-0.431256027	0.4158137	1.492474152	1.796772239	0.919220136	0.24584849	1.37250971	1.033403862	0.975866404	1.946617119	0.897522477	1.541217419	0.172329687	1.44934551	1.002236356	1.542701466
LCC1009_52	2.093363273	1.463783733	1.666818837	1.670596052	1.39105675	0.813087285	1.380440035	1.277390457	1.494535309	1.60574193	0.940423929	0.998155016	1.356566399	1.521198718	0.838019697	1.112255021	1.526844772	1.581252625	1.055872658	1.02839464	1.266119928	0.568280266	1.710043047	0.905090124	0.469057825	1.511217538	0.877519135	1.446006448	0.995240788	1.703888961	0.783636418	-0.131533195	1.398486186	0.167521733	1.415320441	0.487858973	0.941500594	1.28193376	1.615910408	0.782292877	0.505051809	1.353431727	0.962443062	1.337677797	0.96679641	1.658737155	0.904224079	-0.280068057	1.593731212	0.461135181	1.500286482	1.034316708	1.443271719	0.769167176	-0.208494161	1.617429403	0.522963437	1.488706952	1.178311817	1.483370487	0.897435474	0.263543816	1.57976561	0.796196419	1.372908743	0.219753842	0.717871748	0.57555641	-0.242808308	0.493148652	1.443899771	1.676059521	0.867706529	0.723235572	1.418705578	1.125387551	1.027401033	1.682139718	0.973837188	1.384822867	0.171048245	1.45348415	0.622243439	1.339584973
LCC1010_0	2.269726593	1.80524949	1.877395395	1.844340748	1.241257006	0.761580219	1.42813541	1.323230326	1.517921825	1.324769627	0.775552879	1.100013567	1.419171917	1.275632759	0.794137567	1.409438002	1.784834864	1.587759386	1.067053821	1.184664612	1.371859199	0.360717497	1.987460124	0.880670808	0.599023448	1.351954883	0.976012077	1.557235921	0.876545909	1.88735037	0.610530634	-0.293201675	1.166890344	0.363672434	1.422190222	0.527721589	0.925449127	1.539231804	1.901923975	0.826855432	0.847058695	1.249241234	1.185023352	1.443141729	1.11916667	1.874963469	0.752821183	0.276223261	1.274746703	0.801793657	1.531997332	1.494228697	1.914315068	0.832558886	-0.00249274	1.369621318	0.663116589	1.503374807	1.303975582	1.659263422	0.751984353	0.344904839	1.245399301	0.931459428	1.315655743	0.525831054	1.039008542	0.690014076	0.158850628	0.737966987	1.322400089	1.840573151	0.815264801	0.410164026	1.297713063	0.884320511	1.079976654	1.811393858	0.797153706	1.418669075	0.653167232	1.3038978	1.125140432	1.502702096
LCC1010_52	1.888880434	1.536911457	1.605606157	1.544485092	1.263568299	0.874916553	1.307625224	1.292378785	1.356740197	1.38753194	0.982449024	0.982292703	1.312077982	1.355697339	0.966670588	1.234713033	1.538606522	1.48466671	1.107726076	1.105363735	1.262469354	0.420867357	1.651085222	0.972720456	0.461551734	1.34758496	0.856420455	1.375649625	0.907871407	1.575771587	0.702087929	-0.028407746	1.173474286	0.148462041	1.273212967	0.511843369	0.923145098	1.336984036	1.509565234	0.801385497	0.570936288	1.19150617	0.964037755	1.237867249	1.013274892	1.542797436	1.000284701	-0.164868873	1.401666187	0.464219686	1.368021068	1.312780613	1.528999773	0.948220386	-0.406137031	1.372922169	0.374513176	1.345158472	1.139468184	1.544681587	0.984368805	0.403947375	1.35765776	0.727511666	1.31903624	0.440874706	0.825801706	0.552508933	-0.268959792	0.421678512	1.462425552	1.70762376	1.046368094	0.706636653	1.390750615	1.123637778	0.948929311	1.546166216	0.963849383	1.395607666	0.474906742	1.353728029	0.90590054	1.305006422
LCC1011_0	2.220275735	1.812490285	1.913925072	2.007832859	1.449573615	0.665471498	1.793650373	0.918447494	1.919803704	1.607398894	0.848086272	0.963009107	1.750004691	1.496727381	0.707593463	0.923050432	1.882742635	1.666219144	1.048818866	1.079680252	0.976684031	0.06177423	1.981560926	0.779330309	-0.024167291	1.527977476	0.43887486	1.833239908	0.758098241	1.907607849	0.617990712	-0.637301062	1.397804045	0.189973729	1.762918503	-0.102222176	0.41532381	0.918857476	1.874811832	0.630889128	-0.121359765	1.435281196	0.420612552	1.789027817	0.947492964	1.961550304	0.823796301	-0.354376778	1.564086735	0.394916146	1.837071509	0.878352274	1.744247097	0.643872644	-0.44708035	1.646780561	0.294700824	1.989269226	0.963574464	1.871451997	0.763150109	-0.235595555	1.543787116	0.347821198	1.830332719	-0.267257019	0.309019107	0.507367825	-0.398259707	0.347692734	1.034982418	1.955541061	0.737392196	0.141167983	1.508283143	0.604167995	0.97798997	2.049654669	0.871089368	1.826633365	-0.301409499	1.443941542	0.266407056	1.651368808
LCC1012_0	2.334468531	2.041054313	2.030588576	2.242090642	1.829880375	0.902833757	2.120666431	1.106094705	2.388107907	2.072311741	1.035091642	0.963021692	2.111740093	1.781776821	0.923954972	1.147284267	2.270780641	1.969826911	1.116117222	1.05981894	1.095851866	0.257609896	2.199562516	0.994805324	0.179327581	1.942261587	0.591397736	2.274643354	0.868540134	2.101149339	0.904203355	-0.285461119	1.933547147	0.056496648	2.21610515	0.213251053	0.656246742	1.298285282	2.014336049	0.964968765	0.375947213	1.807518645	0.864505252	2.075281122	0.928057132	2.249077214	1.045041082	-0.441596539	2.103779965	0.171264028	2.380202128	1.271519683	2.12297027	1.010437967	-0.040223844	2.038384012	0.360228908	2.395872341	0.972596242	1.940009674	0.815856864	0.330056094	1.701325981	0.60591377	2.032597867	0.29873482	0.680925287	0.374618017	-0.196103806	0.275943914	1.04294116	1.965246413	0.828676542	0.302588015	1.722301724	0.649824712	0.995379832	2.234989836	1.02490891	2.051847542	0.264977861	1.849628196	0.744868995	2.17865901
LCC1014_0	1.846935023	1.520485028	1.635847022	1.892340813	1.030096163	0.304762702	1.469054981	0.551756708	1.768641001	1.248098091	0.515280702	0.676262786	1.397235373	1.086971578	0.363971308	0.666996449	1.583234632	1.232095352	0.552357002	0.715447865	0.671265512	-0.105610989	1.748799725	0.416865903	0.147975096	1.145140566	0.284960881	1.576087857	0.455438809	1.685933509	0.30872331	-0.641577829	1.004971904	0.3223302	1.47720047	-0.033766183	0.13564515	0.60003228	1.574812805	0.311626504	0.136389243	1.058747395	0.223426026	1.444887421	0.686501213	1.908299919	0.542445085	-0.247702031	1.294986046	0.231448313	1.807083669	0.608419113	1.52039026	0.33536845	-0.335837279	1.195528338	0.161064444	1.726462085	0.718603728	1.520579776	0.390806206	0.214572822	1.076441519	0.346870051	1.379678781	0.175929348	0.287907356	0.305990661	-0.289537722	0.197680665	0.585717524	1.639680556	0.293726609	0.071284347	1.024858602	0.215630387	0.66577715	1.875772808	0.486303195	1.484077218	0.133508541	1.097252355	0.21966285	1.414109721
LCC1014_52	1.857947501	1.53936815	1.676627904	1.652715485	1.376958684	0.688880057	1.490161195	0.864620104	1.513648527	1.398023151	0.748682059	0.93615453	1.448414948	1.401745617	0.681803181	0.956603609	1.523567195	1.341067261	0.819777257	1.099645066	0.964745062	-0.003042722	1.717556297	0.729862293	0.382353452	1.407182714	0.505011644	1.53488479	0.685769596	1.703644326	0.673690846	-0.515973195	1.372902576	0.893004197	1.522722693	0.157949256	0.37056722	0.957836681	1.651708423	0.699525621	0.383139282	1.394749065	0.53376512	1.481336666	0.925793503	1.646393068	0.744984886	-0.037599675	1.391023649	0.345400707	1.507211895	0.965927869	1.554508729	0.661427073	-0.038354309	1.404911629	0.357223552	1.519991154	0.947074758	1.523680606	0.701265978	0.196092191	1.410639715	0.417853565	1.439877968	0.398146997	0.495985055	0.76596726	-0.037976828	0.35135236	0.90527821	1.67295602	0.693009913	0.202719163	1.362601396	0.420106634	0.946274122	1.65894718	0.752348024	1.464330251	0.535507722	1.392665558	0.562180463	1.456787346
LCC1015_0	2.178427409	2.00043427	1.986236746	2.221272875	1.88312392	1.065991769	1.968490315	1.276074168	2.280279424	2.053762658	1.092055157	1.189579136	2.095081888	2.025024755	1.126925331	1.565381963	2.077369187	1.841900507	1.022572008	1.184610495	1.292179979	0.0755122	2.085159984	1.060359374	0.40326873	1.944381259	0.772239771	2.102995999	0.949445484	1.892876377	0.900482563	-0.502244542	1.801016279	0.461403993	1.894899528	0.248165643	0.746385994	1.342457412	2.031129222	1.14100455	0.322281087	1.917156017	0.880187364	1.980049742	1.116986778	2.2242672	1.041897219	-0.356131282	2.072348251	0.35932835	2.309067405	1.310671759	1.98404422	1.081671098	-0.25375852	2.034346	0.464818701	2.24944685	1.724866342	2.016228198	1.167905826	0.435312826	1.995864087	1.240996775	2.074058535	0.378384372	1.071842687	0.640627369	-0.30193542	0.41526864	1.410718498	2.021480031	1.118436588	0.462016881	1.9208488	0.900448065	1.251757614	2.218257762	1.137015336	2.021144359	0.312851534	2.052350023	0.790983135	2.11513436
